"package","artifact_group","fragment_type","fragment_id","included","relative_path","source_path","bytes","sha256","notes"
"financial_methodology","backend_projection","","","True","backend_projection/bridge/bridge_resolved_bridge_decisions_v1/shacl_shapes.ttl","public_repo/case_studies/financial_methodology/backend_projection/bridge/bridge_resolved_bridge_decisions_v1/shacl_shapes.ttl","15352","D32681909B1324A743BEAD268065177AEA406669825AD36EEDA5F6E39310E24C","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N01/owl.check.json","public_repo/case_studies/financial_methodology/backend_projection/definitions/N01/owl.check.json","170","0F4FF76DFFDFFF4E910149E37CD62CE47FEDE287C74621246A6E8CC6486C4B27","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N01/owl.emission.json","public_repo/case_studies/financial_methodology/backend_projection/definitions/N01/owl.emission.json","1154","A0A2CC4E6170F5682D0C8B9D583A30638E3A792BB4910A8745570D6D9A7513FA","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N01/owl.ttl","public_repo/case_studies/financial_methodology/backend_projection/definitions/N01/owl.ttl","3521","5DCC9BBDEF1BD402F10AB1D3994C6B9DD202021F7C968232EB64FF0F03790F2E","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N01/rdf.check.json","public_repo/case_studies/financial_methodology/backend_projection/definitions/N01/rdf.check.json","100","89936080E0248A1C4673FC246208995A21ED4AC4C00B8305291740B13BC654CF","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N01/rdf.emission.json","public_repo/case_studies/financial_methodology/backend_projection/definitions/N01/rdf.emission.json","199","7886FE196A5C5C1711AB9F90320569E2C74A0E9D457DFB5DAD119A4A5FA24AF7","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N01/rdf.ttl","public_repo/case_studies/financial_methodology/backend_projection/definitions/N01/rdf.ttl","5583","99B000245ABF0198D8603FEDEABEB06CA7E99418BA87FD6362D99BFCCB90A13E","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N01/shacl.check.json","public_repo/case_studies/financial_methodology/backend_projection/definitions/N01/shacl.check.json","187","915CDADEB79F84BF211045DE90DDEFE2BC7680EB938E2DB5AA7C00876040A19A","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N01/shacl.emission.json","public_repo/case_studies/financial_methodology/backend_projection/definitions/N01/shacl.emission.json","683","BE18368CC80B27FE3E7CEBA3E01E380252F650F2DEF1E43C6DD68A06111E4C6E","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N01/shacl_shapes.ttl","public_repo/case_studies/financial_methodology/backend_projection/definitions/N01/shacl_shapes.ttl","3610","013719E026EFDC53AC33D0BF48B756FD06E219B77F256E7CBB50435795174E26","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N02/owl.check.json","public_repo/case_studies/financial_methodology/backend_projection/definitions/N02/owl.check.json","170","E4142197E7C0347928C4578366BC1C9D6786759A5246A8287BEAFF85E4708768","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N02/owl.emission.json","public_repo/case_studies/financial_methodology/backend_projection/definitions/N02/owl.emission.json","199","4FEC0940D927E751D0B883000A7C5EB6F25DC12F60F28A50014C5A03D1AB5764","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N02/owl.ttl","public_repo/case_studies/financial_methodology/backend_projection/definitions/N02/owl.ttl","783","EAC2A6F0EE6C67E3F5C73E51EFFF4909011ADAFC7145ABAAD8646FF2AA6DB240","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N02/rdf.check.json","public_repo/case_studies/financial_methodology/backend_projection/definitions/N02/rdf.check.json","99","6556719B215DA6DAB31A9FB488326F505D3D663E5DE26249F43E1DFFC4EFC77C","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N02/rdf.emission.json","public_repo/case_studies/financial_methodology/backend_projection/definitions/N02/rdf.emission.json","199","CED2C6D392EA87A6DA9C373827BAC0D7CE6252F81001938E8123A7D3DDE249EB","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N02/rdf.ttl","public_repo/case_studies/financial_methodology/backend_projection/definitions/N02/rdf.ttl","1686","27397E108AF2A828DE550F1AD85F05E9999740FD1854CFD405E4F4F4B7182EE5","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N02/shacl.check.json","public_repo/case_studies/financial_methodology/backend_projection/definitions/N02/shacl.check.json","187","AECBC560044BBF15105DAED6F761717D0FE1833EFE3607A82BB034DDA6B578E9","included public case-study artifact"
"financial_methodology","backend_projection","","","True","backend_projection/definitions/N02/shacl.emission.json","public_repo/case_studies/financial_methodology/backend_projection/definitions/N02/shacl.emission.json","210","F41B5CB2ADC0CE0697E709BEDEDE4801D24CE243653905342D3C2381EC1D186F","included public case-study artifact"
